Date and Time,Temperature,ECG,GSR,HR,IR,RED
2024-07-10 09:46:15.276070+00:00,80.65,0.0205,0.0,0.0,1092.0,1569.0
2024-07-10 09:46:12.156306+00:00,80.69,0.0,0.0,0.0,1087.0,1544.0
2024-07-10 09:46:09.045108+00:00,80.91,0.0235,0.0215,0.0,1162.0,1562.0
2024-07-10 09:46:05.931970+00:00,80.87,0.0176,0.0313,0.0,1123.0,1599.0
2024-07-10 09:46:02.816984+00:00,80.98,0.0391,0.0342,61.58,1120.0,1571.0
2024-07-10 09:45:59.701505+00:00,80.98,0.0401,0.0332,66.28,1096.0,1603.0
2024-07-10 09:45:56.588940+00:00,80.91,0.0547,0.1584,71.75,1076.0,1552.0
2024-07-10 09:45:53.476787+00:00,80.91,0.0479,0.1457,72.04,1152.0,1530.0
2024-07-10 09:45:50.357918+00:00,80.91,0.0059,0.0,13.200000000000001,106073.0,8462.0
2024-07-10 09:45:47.263715+00:00,80.98,0.0156,0.0098,0.0,106073.0,8462.0
2024-07-10 09:45:44.151811+00:00,80.91,0.0283,0.0264,0.0,106141.0,84195.0
2024-07-10 09:45:41.041322+00:00,80.91,0.0362,0.0303,71.46000000000001,106189.0,84196.0
2024-07-10 09:45:37.920596+00:00,80.87,0.0528,0.1515,71.65,106140.0,84274.0
2024-07-10 09:45:34.809383+00:00,81.16,0.0,0.0,54.35,106176.0,84214.0
2024-07-10 09:45:31.698646+00:00,80.87,0.0254,0.0244,0.0,106181.0,84211.0
2024-07-10 09:45:28.587230+00:00,81.12,0.042,0.0391,71.65,106099.0,84175.0
2024-07-10 09:45:25.474063+00:00,80.87,0.0508,0.1388,71.65,106070.0,84144.0
2024-07-10 09:45:22.363037+00:00,81.23,0.0137,0.0,0.0,106011.0,84171.0
2024-07-10 09:45:19.252738+00:00,81.16,0.0342,0.0313,0.0,106000.0,84138.0
2024-07-10 09:45:16.143140+00:00,81.16,0.0293,0.0352,71.55,106011.0,84155.0
